index		pid		visits	start time(nano sec)	end time(nano sec)		status
0 		131		1		1.1243258807425E13		1.1243258877604E13			Done
1 		160		3		1.1243258811356E13		1.1243259028862E13			Done
2 		192		3		1.1243258812257E13		1.124325902956E13			Done
3 		195		2		1.1243258812947E13		1.1243258880914E13			Done
4 		7		1		1.1243258813547E13		1.1243258881572E13			Done
5 		33		2		1.1243258814111E13		1.1243258882513E13			Done
6 		159		2		1.1243258814663E13		1.1243258883384E13			Done
7 		21		2		1.1243258815259E13		1.1243258884209E13			Done
8 		31		1		1.124325881583E13		1.1243258884904E13			Done
9 		134		3		1.1243258816392E13		1.1243259030136E13			Done
10 		109		1		1.1243258816966E13		1.1243258887402E13			Done
11 		8		3		1.124325881758E13		1.1243259030728E13			Done
12 		118		3		1.124325881817E13		1.1243259031256E13			Done
13 		156		3		1.1243258818773E13		1.1243259031847E13			Done
14 		113		1		1.1243258819345E13		1.1243258890887E13			Done
15 		29		1		1.1243258819918E13		1.1243258891556E13			Done
16 		13		1		1.1243258821759E13		1.1243258892172E13			Done
17 		73		1		1.1243258822356E13		1.1243258893069E13			Done
18 		18		3		1.1243258822939E13		1.1243259032428E13			Done
19 		120		3		1.1243258823516E13		1.1243259032989E13			Done
20 		193		1		1.1243258824095E13		1.1243258896203E13			Done
21 		129		2		1.1243258824703E13		1.1243258897115E13			Done
22 		171		2		1.1243258825262E13		1.1243258897971E13			Done
23 		0		3		1.1243258825843E13		1.1243259033555E13			Done
24 		10		3		1.1243258826426E13		1.1243259034091E13			Done
25 		26		3		1.124325882701E13		1.124325903468E13			Done
26 		5		1		1.1243258827606E13		1.1243258900876E13			Done
27 		146		3		1.124325882817E13		1.1243259035272E13			Done
28 		0		3		1.1243258828738E13		1.1243259035822E13			Done
29 		133		2		1.1243258829343E13		1.1243258903707E13			Done
30 		107		1		1.1243258829892E13		1.1243258904812E13			Done
31 		136		3		1.1243258830482E13		1.1243259036362E13			Done
32 		148		3		1.1243258831042E13		1.1243259036936E13			Done
33 		27		2		1.124325883161E13		1.1243258907259E13			Done
34 		180		3		1.1243258832188E13		1.1243259037489E13			Done
35 		183		2		1.124325883276E13		1.1243258908877E13			Done
36 		184		3		1.1243258833303E13		1.1243259038064E13			Done
37 		183		2		1.1243258833884E13		1.1243258910515E13			Done
38 		33		2		1.1243258834455E13		1.1243258911399E13			Done
39 		182		3		1.1243258835013E13		1.1243259038685E13			Done
40 		108		3		1.1243258835593E13		1.1243259039225E13			Done
41 		11		1		1.1243258836189E13		1.1243258913585E13			Done
42 		132		3		1.1243258836752E13		1.1243259039771E13			Done
43 		130		3		1.1243258837317E13		1.124325904034E13			Done
44 		174		3		1.1243258837905E13		1.1243259040872E13			Done
45 		2		3		1.124325883849E13		1.1243259041462E13			Done
46 		8		3		1.1243258839062E13		1.1243259041988E13			Done
47 		62		3		1.1243258839605E13		1.1243259042529E13			Done
48 		45		2		1.1243258840173E13		1.1243258919124E13			Done
49 		156		3		1.1243258840791E13		1.1243259043112E13			Done
50 		131		1		1.1243258841367E13		1.1243258921172E13			Done
51 		112		3		1.1243258841922E13		1.1243259043679E13			Done
52 		139		1		1.1243258842479E13		1.1243258923213E13			Done
53 		176		3		1.1243258843049E13		1.1243259044253E13			Done
54 		93		2		1.1243258843616E13		1.1243258925256E13			Done
55 		199		1		1.1243258844199E13		1.124325892686E13			Done
56 		172		3		1.1243258844746E13		1.1243259044843E13			Done
57 		11		1		1.1243258845324E13		1.1243258933741E13			Done
58 		11		1		1.1243258845901E13		1.1243258934353E13			Done
59 		169		2		1.1243258846475E13		1.1243258935518E13			Done
60 		63		2		1.1243258847071E13		1.12432589364E13			Done
61 		71		1		1.124325884763E13		1.1243258937329E13			Done
62 		5		1		1.1243258848193E13		1.1243258937848E13			Done
63 		32		3		1.1243258848763E13		1.1243259045395E13			Done
64 		104		3		1.1243258849338E13		1.1243259045957E13			Done
65 		56		3		1.1243258849887E13		1.1243259046891E13			Done
66 		112		3		1.1243258850487E13		1.1243259047439E13			Done
67 		188		3		1.1243258851063E13		1.1243259047995E13			Done
68 		127		1		1.1243258851621E13		1.1243258942979E13			Done
69 		191		1		1.124325885218E13		1.1243258945178E13			Done
70 		0		3		1.1243258852702E13		1.1243259048585E13			Done
71 		124		3		1.124325885329E13		1.1243259049164E13			Done
72 		57		2		1.1243258853858E13		1.1243258947636E13			Done
73 		33		2		1.124325885444E13		1.1243258948508E13			Done
74 		150		3		1.1243258854997E13		1.1243259049694E13			Done
75 		126		3		1.1243258855559E13		1.1243259050417E13			Done
76 		192		3		1.1243258856154E13		1.1243259050986E13			Done
77 		122		3		1.1243258856738E13		1.1243259051505E13			Done
78 		186		3		1.1243258857307E13		1.1243259052087E13			Done
79 		182		3		1.1243258857876E13		1.1243259052643E13			Done
80 		2		3		1.1243258859379E13		1.1243259053174E13			Done
